iter	Passed	Remaining
0	144	143872
1	145	72768
2	148	49249
3	150	37466
4	152	30427
5	155	25724
6	157	22370
7	160	19852
8	162	17885
9	164	16322
10	166	14991
11	169	13938
12	171	13033
13	174	12261
14	176	11583
15	178	10969
16	180	10458
17	183	10002
18	185	9597
19	188	9221
20	190	8895
21	192	8567
22	195	8285
23	197	8032
24	199	7793
25	201	7539
26	203	7322
27	205	7136
28	208	6967
29	210	6803
30	212	6653
31	215	6508
32	218	6388
33	220	6272
34	223	6153
35	225	6038
36	227	5931
37	230	5831
38	232	5734
39	235	5643
40	237	5557
41	239	5472
42	242	5396
43	245	5323
44	247	5251
45	249	5184
46	252	5116
47	254	5055
48	257	4996
49	259	4935
50	262	4879
51	264	4827
52	266	4763
53	269	4715
54	271	4657
55	273	4610
56	275	4565
57	277	4511
58	280	4471
59	282	4430
60	285	4390
61	287	4350
62	289	4312
63	292	4277
64	294	4241
65	297	4206
66	299	4172
67	301	4138
68	304	4108
69	306	4078
70	309	4049
71	311	4019
72	314	3990
73	316	3963
74	319	3938
75	321	3911
76	324	3887
77	326	3861
78	329	3835
79	331	3812
80	332	3777
81	335	3752
82	337	3730
83	340	3707
84	342	3685
85	344	3659
86	346	3632
87	348	3612
88	350	3592
89	353	3574
90	355	3555
91	358	3537
92	361	3521
93	363	3504
94	366	3486
95	368	3470
96	369	3442
97	371	3416
98	373	3400
99	376	3384
100	377	3360
101	379	3344
102	382	3330
103	384	3315
104	387	3301
105	389	3282
106	390	3260
107	393	3248
108	395	3229
109	397	3216
110	399	3196
111	400	3177
112	403	3164
113	405	3151
114	408	3140
115	409	3118
116	411	3106
117	414	3094
118	416	3083
119	418	3072
120	421	3061
121	423	3046
122	425	3035
123	428	3024
124	430	3013
125	432	3000
126	435	2990
127	437	2979
128	439	2969
129	442	2958
130	443	2941
131	446	2933
132	447	2917
133	450	2911
134	452	2902
135	455	2893
136	457	2881
137	460	2873
138	461	2858
139	463	2848
140	465	2833
141	467	2824
142	469	2812
143	471	2800
144	472	2788
145	475	2779
146	477	2771
147	479	2759
148	481	2751
149	483	2737
150	485	2729
151	486	2715
152	488	2704
153	490	2694
154	492	2687
155	494	2674
156	496	2664
157	498	2657
158	501	2650
159	502	2638
160	504	2627
161	506	2618
162	508	2611
163	510	2602
164	512	2594
165	515	2587
166	517	2581
167	520	2575
168	522	2570
169	524	2562
170	526	2552
171	528	2545
172	531	2539
173	533	2533
174	536	2528
175	538	2522
176	540	2513
177	541	2502
178	543	2492
179	546	2487
180	547	2478
181	548	2466
182	550	2456
183	552	2450
184	555	2445
185	557	2439
186	559	2431
187	561	2423
188	563	2418
189	566	2413
190	568	2407
191	570	2399
192	572	2394
193	575	2389
194	577	2385
195	578	2375
196	581	2370
197	584	2365
